fold,unique_subject,clip_id,unique_clip,true_label,pred_label,prob_0,prob_1
1,BJ_14,17,BJ_14_clip_17,1,0,0.53040004,0.46959993
1,BJ_14,18,BJ_14_clip_18,1,0,0.5866762,0.41332385
1,BJ_14,19,BJ_14_clip_19,1,0,0.57556,0.42444003
1,BJ_14,2,BJ_14_clip_2,1,1,0.4083781,0.5916219
1,BJ_14,20,BJ_14_clip_20,1,1,0.3502585,0.64974153
1,BJ_14,3,BJ_14_clip_3,1,0,0.5117143,0.48828575
1,BJ_14,4,BJ_14_clip_4,1,0,0.59596914,0.4040309
1,BJ_14,5,BJ_14_clip_5,1,1,0.42087865,0.57912135
1,BJ_14,6,BJ_14_clip_6,1,0,0.5576025,0.44239748
1,BJ_14,7,BJ_14_clip_7,1,0,0.6512239,0.34877604
1,BJ_14,8,BJ_14_clip_8,1,0,0.6400052,0.35999483
1,BJ_14,9,BJ_14_clip_9,1,0,0.5671915,0.43280846
1,BJ_15,1,BJ_15_clip_1,1,1,0.4651366,0.5348634
1,BJ_15,10,BJ_15_clip_10,1,0,0.52692807,0.47307196
1,BJ_15,11,BJ_15_clip_11,1,1,0.48284367,0.51715636
1,BJ_15,12,BJ_15_clip_12,1,1,0.3420361,0.6579639
1,BJ_15,13,BJ_15_clip_13,1,1,0.35642824,0.6435718
1,BJ_15,14,BJ_15_clip_14,1,1,0.4626813,0.5373187
1,BJ_15,15,BJ_15_clip_15,1,1,0.39428216,0.60571784
1,BJ_15,16,BJ_15_clip_16,1,0,0.5458546,0.4541453
1,BJ_15,17,BJ_15_clip_17,1,1,0.41100213,0.5889979
1,BJ_15,18,BJ_15_clip_18,1,1,0.4402974,0.55970263
1,BJ_15,19,BJ_15_clip_19,1,1,0.45518923,0.54481083
1,BJ_15,2,BJ_15_clip_2,1,1,0.30678716,0.69321287
1,BJ_15,20,BJ_15_clip_20,1,1,0.26224166,0.73775834
1,BJ_15,3,BJ_15_clip_3,1,1,0.40286985,0.5971302
1,BJ_15,4,BJ_15_clip_4,1,1,0.45317045,0.5468295
1,BJ_15,5,BJ_15_clip_5,1,1,0.39095843,0.6090415
1,BJ_15,6,BJ_15_clip_6,1,1,0.47139707,0.5286029
1,BJ_15,7,BJ_15_clip_7,1,1,0.4539474,0.54605263
1,BJ_15,8,BJ_15_clip_8,1,0,0.52347964,0.4765204
1,BJ_15,9,BJ_15_clip_9,1,1,0.45491508,0.5450849
1,BJ_16,1,BJ_16_clip_1,1,0,0.50517505,0.49482495
1,BJ_16,10,BJ_16_clip_10,1,1,0.3837537,0.61624634
1,BJ_16,11,BJ_16_clip_11,1,1,0.3506868,0.6493132
1,BJ_16,12,BJ_16_clip_12,1,1,0.3230101,0.6769899
1,BJ_16,13,BJ_16_clip_13,1,1,0.33498755,0.6650124
1,BJ_16,14,BJ_16_clip_14,1,1,0.45340982,0.54659015
1,BJ_16,15,BJ_16_clip_15,1,1,0.28637466,0.7136253
1,BJ_16,16,BJ_16_clip_16,1,1,0.38489798,0.61510205
1,BJ_16,17,BJ_16_clip_17,1,1,0.31789792,0.6821021
1,BJ_16,18,BJ_16_clip_18,1,1,0.31565765,0.6843424
1,BJ_16,19,BJ_16_clip_19,1,1,0.30301985,0.6969801
1,BJ_16,2,BJ_16_clip_2,1,1,0.29515535,0.70484465
1,BJ_16,20,BJ_16_clip_20,1,1,0.2797166,0.72028345
1,BJ_16,3,BJ_16_clip_3,1,1,0.3431005,0.6568995
1,BJ_16,4,BJ_16_clip_4,1,1,0.45999998,0.54
1,BJ_16,5,BJ_16_clip_5,1,1,0.40517256,0.5948274
1,BJ_16,6,BJ_16_clip_6,1,1,0.47907576,0.5209242
1,BJ_16,7,BJ_16_clip_7,1,1,0.40996167,0.59003836
1,BJ_16,8,BJ_16_clip_8,1,1,0.46612355,0.5338765
1,BJ_16,9,BJ_16_clip_9,1,1,0.33535117,0.6646488
1,BJ_21,1,BJ_21_clip_1,1,0,0.54287237,0.4571276
1,BJ_21,10,BJ_21_clip_10,1,1,0.35765496,0.6423451
1,BJ_21,11,BJ_21_clip_11,1,1,0.40097386,0.59902614
1,BJ_21,12,BJ_21_clip_12,1,1,0.29155385,0.7084462
1,BJ_21,13,BJ_21_clip_13,1,1,0.43443233,0.5655677
1,BJ_21,14,BJ_21_clip_14,1,1,0.28477445,0.7152255
1,BJ_21,15,BJ_21_clip_15,1,1,0.20081803,0.799182
1,BJ_21,16,BJ_21_clip_16,1,1,0.23374645,0.76625353
1,BJ_21,17,BJ_21_clip_17,1,1,0.3952966,0.6047034
1,BJ_21,18,BJ_21_clip_18,1,1,0.40899247,0.59100753
1,BJ_21,19,BJ_21_clip_19,1,1,0.4301365,0.5698635
1,BJ_21,2,BJ_21_clip_2,1,1,0.42651066,0.5734893
1,BJ_21,20,BJ_21_clip_20,1,1,0.17275149,0.8272486
1,BJ_21,3,BJ_21_clip_3,1,1,0.49979302,0.50020695
1,BJ_21,4,BJ_21_clip_4,1,1,0.36339787,0.6366021
1,BJ_21,5,BJ_21_clip_5,1,1,0.32382706,0.6761729
1,BJ_21,6,BJ_21_clip_6,1,1,0.44360545,0.5563945
1,BJ_21,7,BJ_21_clip_7,1,1,0.44547862,0.5545213
1,BJ_21,8,BJ_21_clip_8,1,1,0.29634073,0.7036593
1,BJ_21,9,BJ_21_clip_9,1,1,0.33598676,0.6640132
1,BJ_22,1,BJ_22_clip_1,1,0,0.5681932,0.43180683
1,BJ_22,10,BJ_22_clip_10,1,1,0.4605756,0.53942436
1,BJ_22,11,BJ_22_clip_11,1,0,0.6072665,0.39273354
1,BJ_22,12,BJ_22_clip_12,1,1,0.42708442,0.57291555
1,BJ_22,13,BJ_22_clip_13,1,1,0.44790515,0.5520948
1,BJ_22,14,BJ_22_clip_14,1,0,0.52108824,0.47891173
1,BJ_22,15,BJ_22_clip_15,1,1,0.47480243,0.52519757
1,BJ_22,16,BJ_22_clip_16,1,0,0.6425921,0.35740787
1,BJ_22,17,BJ_22_clip_17,1,1,0.45576954,0.54423046
1,BJ_22,18,BJ_22_clip_18,1,0,0.55724424,0.4427558
1,BJ_22,19,BJ_22_clip_19,1,1,0.4886365,0.51136357
1,BJ_22,2,BJ_22_clip_2,1,1,0.4778472,0.5221528
1,BJ_22,20,BJ_22_clip_20,1,1,0.34053138,0.6594686
1,BJ_22,3,BJ_22_clip_3,1,1,0.49349126,0.5065087
1,BJ_22,4,BJ_22_clip_4,1,0,0.50826544,0.49173456
1,BJ_22,5,BJ_22_clip_5,1,0,0.5514585,0.44854152
1,BJ_22,6,BJ_22_clip_6,1,0,0.6385108,0.36148924
1,BJ_22,7,BJ_22_clip_7,1,0,0.59783167,0.4021683
1,BJ_22,8,BJ_22_clip_8,1,0,0.5817125,0.4182875
1,BJ_22,9,BJ_22_clip_9,1,0,0.5489375,0.45106253
1,BJ_24,1,BJ_24_clip_1,1,1,0.2048637,0.79513633
1,BJ_24,10,BJ_24_clip_10,1,1,0.26795503,0.732045
1,BJ_24,11,BJ_24_clip_11,1,1,0.42289168,0.5771083
1,BJ_24,12,BJ_24_clip_12,1,1,0.27592453,0.7240755
1,BJ_24,13,BJ_24_clip_13,1,1,0.19638352,0.8036164
1,BJ_24,14,BJ_24_clip_14,1,1,0.17595595,0.82404405
1,BJ_24,15,BJ_24_clip_15,1,1,0.20223945,0.7977605
1,BJ_24,16,BJ_24_clip_16,1,1,0.22559668,0.77440333
1,BJ_24,17,BJ_24_clip_17,1,1,0.2244115,0.7755885
1,BJ_24,18,BJ_24_clip_18,1,1,0.26113462,0.73886544
1,BJ_24,19,BJ_24_clip_19,1,1,0.24809882,0.75190115
1,BJ_24,2,BJ_24_clip_2,1,1,0.15470394,0.845296
1,BJ_24,20,BJ_24_clip_20,1,1,0.22359467,0.77640533
1,BJ_24,3,BJ_24_clip_3,1,1,0.124266215,0.87573373
1,BJ_24,4,BJ_24_clip_4,1,1,0.12052194,0.8794781
1,BJ_24,5,BJ_24_clip_5,1,1,0.11312452,0.8868755
1,BJ_24,6,BJ_24_clip_6,1,1,0.17477396,0.82522607
1,BJ_24,7,BJ_24_clip_7,1,1,0.2953273,0.70467263
1,BJ_24,8,BJ_24_clip_8,1,1,0.26455048,0.73544955
1,BJ_24,9,BJ_24_clip_9,1,1,0.30304822,0.6969518
1,BJ_6,1,BJ_6_clip_1,1,0,0.5186865,0.48131353
1,BJ_6,10,BJ_6_clip_10,1,1,0.32408535,0.67591465
1,BJ_6,11,BJ_6_clip_11,1,1,0.49899626,0.50100374
1,BJ_6,12,BJ_6_clip_12,1,1,0.49861547,0.5013845
1,BJ_6,13,BJ_6_clip_13,1,1,0.33588302,0.664117
1,BJ_6,14,BJ_6_clip_14,1,1,0.3476692,0.65233076
1,BJ_6,15,BJ_6_clip_15,1,1,0.4667673,0.5332327
1,BJ_6,16,BJ_6_clip_16,1,1,0.4561452,0.54385483
1,BJ_6,17,BJ_6_clip_17,1,1,0.32924166,0.6707583
1,BJ_6,18,BJ_6_clip_18,1,1,0.45813152,0.5418685
1,BJ_6,19,BJ_6_clip_19,1,1,0.32447445,0.67552555
1,BJ_6,2,BJ_6_clip_2,1,1,0.47758135,0.5224187
1,BJ_6,20,BJ_6_clip_20,1,1,0.29423898,0.705761
1,BJ_6,3,BJ_6_clip_3,1,0,0.51455355,0.48544642
1,BJ_6,4,BJ_6_clip_4,1,0,0.5535213,0.44647872
1,BJ_6,5,BJ_6_clip_5,1,1,0.3760718,0.6239281
1,BJ_6,6,BJ_6_clip_6,1,1,0.42161798,0.57838196
1,BJ_6,7,BJ_6_clip_7,1,0,0.5702008,0.42979926
1,BJ_6,8,BJ_6_clip_8,1,0,0.5821893,0.41781062
1,BJ_6,9,BJ_6_clip_9,1,1,0.47301272,0.5269873
1,BJ_8,1,BJ_8_clip_1,1,1,0.40261826,0.5973818
1,BJ_8,10,BJ_8_clip_10,1,0,0.500825,0.49917498
1,BJ_8,11,BJ_8_clip_11,1,1,0.49605855,0.5039414
1,BJ_8,12,BJ_8_clip_12,1,1,0.37791038,0.6220896
1,BJ_8,13,BJ_8_clip_13,1,1,0.37239313,0.62760687
1,BJ_8,14,BJ_8_clip_14,1,1,0.3853757,0.61462426
1,BJ_8,15,BJ_8_clip_15,1,1,0.3756129,0.6243871
1,BJ_8,16,BJ_8_clip_16,1,1,0.4823351,0.5176649
1,BJ_8,17,BJ_8_clip_17,1,1,0.38110185,0.6188982
1,BJ_8,18,BJ_8_clip_18,1,1,0.36966798,0.630332
1,BJ_8,19,BJ_8_clip_19,1,1,0.34130678,0.6586932
1,BJ_8,2,BJ_8_clip_2,1,1,0.24005273,0.75994724
1,BJ_8,20,BJ_8_clip_20,1,1,0.28568164,0.7143184
1,BJ_8,3,BJ_8_clip_3,1,1,0.39374483,0.60625523
1,BJ_8,4,BJ_8_clip_4,1,1,0.42880228,0.57119775
1,BJ_8,5,BJ_8_clip_5,1,1,0.4133036,0.5866964
1,BJ_8,6,BJ_8_clip_6,1,0,0.5386653,0.4613347
1,BJ_8,7,BJ_8_clip_7,1,0,0.5002871,0.49971288
1,BJ_8,8,BJ_8_clip_8,1,0,0.52748865,0.4725113
1,BJ_8,9,BJ_8_clip_9,1,1,0.43677026,0.5632298
1,ZJ_10,1,ZJ_10_clip_1,0,0,0.5971497,0.4028503
1,ZJ_10,10,ZJ_10_clip_10,0,0,0.5566214,0.44337863
1,ZJ_10,11,ZJ_10_clip_11,0,0,0.5531664,0.44683364
1,ZJ_10,12,ZJ_10_clip_12,0,0,0.51746196,0.482538
1,ZJ_10,13,ZJ_10_clip_13,0,0,0.52247506,0.4775249
1,ZJ_10,14,ZJ_10_clip_14,0,0,0.5667219,0.43327808
1,ZJ_10,15,ZJ_10_clip_15,0,0,0.52258915,0.47741085
1,ZJ_10,16,ZJ_10_clip_16,0,0,0.5866193,0.41338065
1,ZJ_10,17,ZJ_10_clip_17,0,0,0.5047093,0.49529073
1,ZJ_10,18,ZJ_10_clip_18,0,0,0.5627599,0.43724012
1,ZJ_10,19,ZJ_10_clip_19,0,0,0.53802115,0.4619789
1,ZJ_10,2,ZJ_10_clip_2,0,1,0.4285568,0.5714432
1,ZJ_10,20,ZJ_10_clip_20,0,1,0.37741986,0.6225802
1,ZJ_10,3,ZJ_10_clip_3,0,0,0.5141267,0.48587328
1,ZJ_10,4,ZJ_10_clip_4,0,0,0.54156107,0.4584389
1,ZJ_10,5,ZJ_10_clip_5,0,0,0.5301946,0.46980548
1,ZJ_10,6,ZJ_10_clip_6,0,0,0.6312211,0.36877885
1,ZJ_10,7,ZJ_10_clip_7,0,0,0.6183828,0.38161713
1,ZJ_10,8,ZJ_10_clip_8,0,0,0.5259028,0.47409725
1,ZJ_10,9,ZJ_10_clip_9,0,1,0.49421927,0.5057807
1,ZJ_11,1,ZJ_11_clip_1,0,0,0.50259715,0.49740282
1,ZJ_11,10,ZJ_11_clip_10,0,0,0.5406071,0.45939294
1,ZJ_11,11,ZJ_11_clip_11,0,0,0.5635726,0.43642735
1,ZJ_11,12,ZJ_11_clip_12,0,0,0.50014335,0.49985665
1,ZJ_11,13,ZJ_11_clip_13,0,0,0.5295169,0.47048315
1,ZJ_11,14,ZJ_11_clip_14,0,0,0.56190866,0.43809134
1,ZJ_11,15,ZJ_11_clip_15,0,1,0.4869439,0.5130561
1,ZJ_11,16,ZJ_11_clip_16,0,0,0.58807725,0.41192278
1,ZJ_11,17,ZJ_11_clip_17,0,1,0.4194743,0.5805257
1,ZJ_11,18,ZJ_11_clip_18,0,0,0.51136875,0.48863125
1,ZJ_11,19,ZJ_11_clip_19,0,1,0.47460836,0.52539164
1,ZJ_11,2,ZJ_11_clip_2,0,1,0.4239655,0.5760345
1,ZJ_11,20,ZJ_11_clip_20,0,1,0.331573,0.668427
1,ZJ_11,3,ZJ_11_clip_3,0,0,0.53699625,0.46300375
1,ZJ_11,4,ZJ_11_clip_4,0,0,0.5026926,0.4973074
1,ZJ_11,5,ZJ_11_clip_5,0,0,0.5138396,0.4861604
1,ZJ_11,6,ZJ_11_clip_6,0,0,0.6113951,0.38860482
1,ZJ_11,7,ZJ_11_clip_7,0,0,0.5517047,0.44829535
1,ZJ_11,8,ZJ_11_clip_8,0,0,0.592093,0.40790704
1,ZJ_11,9,ZJ_11_clip_9,0,0,0.52452266,0.4754773
1,ZJ_19,1,ZJ_19_clip_1,0,1,0.30207786,0.6979221
1,ZJ_19,10,ZJ_19_clip_10,0,1,0.3199785,0.6800215
1,ZJ_19,11,ZJ_19_clip_11,0,1,0.38344333,0.6165567
1,ZJ_19,12,ZJ_19_clip_12,0,1,0.29124403,0.70875597
1,ZJ_19,13,ZJ_19_clip_13,0,1,0.28225133,0.71774864
1,ZJ_19,14,ZJ_19_clip_14,0,1,0.33894047,0.6610595
1,ZJ_19,15,ZJ_19_clip_15,0,1,0.26799792,0.7320021
1,ZJ_19,16,ZJ_19_clip_16,0,1,0.37710536,0.62289464
1,ZJ_19,17,ZJ_19_clip_17,0,1,0.27373216,0.7262679
1,ZJ_19,18,ZJ_19_clip_18,0,1,0.32137942,0.6786206
1,ZJ_19,19,ZJ_19_clip_19,0,1,0.3129497,0.6870503
1,ZJ_19,2,ZJ_19_clip_2,0,1,0.18166223,0.8183378
1,ZJ_19,20,ZJ_19_clip_20,0,1,0.2487802,0.7512198
1,ZJ_19,3,ZJ_19_clip_3,0,1,0.30748302,0.692517
1,ZJ_19,4,ZJ_19_clip_4,0,1,0.29878014,0.70121986
1,ZJ_19,5,ZJ_19_clip_5,0,1,0.23761311,0.76238686
1,ZJ_19,6,ZJ_19_clip_6,0,1,0.3861074,0.6138926
1,ZJ_19,7,ZJ_19_clip_7,0,1,0.36234543,0.6376546
1,ZJ_19,8,ZJ_19_clip_8,0,1,0.3734983,0.62650174
1,ZJ_19,9,ZJ_19_clip_9,0,1,0.2896201,0.71037984
1,ZJ_20,1,ZJ_20_clip_1,0,0,0.62469906,0.37530088
1,ZJ_20,10,ZJ_20_clip_10,0,0,0.6338422,0.36615786
1,ZJ_20,11,ZJ_20_clip_11,0,0,0.6281411,0.37185895
1,ZJ_20,12,ZJ_20_clip_12,0,0,0.5955609,0.4044391
1,ZJ_20,13,ZJ_20_clip_13,0,0,0.5583105,0.4416895
1,ZJ_20,14,ZJ_20_clip_14,0,0,0.6357801,0.3642199
1,ZJ_20,15,ZJ_20_clip_15,0,0,0.59246635,0.40753362
1,ZJ_20,16,ZJ_20_clip_16,0,0,0.6535037,0.34649622
1,ZJ_20,17,ZJ_20_clip_17,0,0,0.57155985,0.42844018
1,ZJ_20,18,ZJ_20_clip_18,0,0,0.6230834,0.37691656
1,ZJ_20,19,ZJ_20_clip_19,0,0,0.57853425,0.42146575
1,ZJ_20,2,ZJ_20_clip_2,0,0,0.5146314,0.4853686
1,ZJ_20,20,ZJ_20_clip_20,0,1,0.38658515,0.6134149
1,ZJ_20,3,ZJ_20_clip_3,0,0,0.6063543,0.3936457
1,ZJ_20,4,ZJ_20_clip_4,0,0,0.6010865,0.3989135
1,ZJ_20,5,ZJ_20_clip_5,0,0,0.58560944,0.41439056
1,ZJ_20,6,ZJ_20_clip_6,0,0,0.63590103,0.36409894
1,ZJ_20,7,ZJ_20_clip_7,0,0,0.6478311,0.35216892
1,ZJ_20,8,ZJ_20_clip_8,0,0,0.583364,0.41663596
1,ZJ_20,9,ZJ_20_clip_9,0,0,0.60557264,0.39442736
1,ZJ_21,1,ZJ_21_clip_1,0,0,0.54340947,0.4565905
1,ZJ_21,10,ZJ_21_clip_10,0,0,0.56860757,0.4313924
1,ZJ_21,11,ZJ_21_clip_11,0,0,0.61687213,0.38312787
1,ZJ_21,12,ZJ_21_clip_12,0,0,0.5438569,0.4561431
1,ZJ_21,13,ZJ_21_clip_13,0,1,0.4907759,0.5092241
1,ZJ_21,14,ZJ_21_clip_14,0,0,0.5656855,0.4343145
1,ZJ_21,15,ZJ_21_clip_15,0,1,0.49076223,0.5092377
1,ZJ_21,16,ZJ_21_clip_16,0,0,0.58749604,0.412504
1,ZJ_21,17,ZJ_21_clip_17,0,0,0.51970994,0.48029003
1,ZJ_21,18,ZJ_21_clip_18,0,0,0.51536953,0.48463044
1,ZJ_21,19,ZJ_21_clip_19,0,1,0.49999222,0.5000078
1,ZJ_21,2,ZJ_21_clip_2,0,1,0.4318334,0.5681667
1,ZJ_21,20,ZJ_21_clip_20,0,1,0.3536231,0.64637685
1,ZJ_21,3,ZJ_21_clip_3,0,0,0.5359518,0.46404818
1,ZJ_21,4,ZJ_21_clip_4,0,0,0.5503112,0.4496888
1,ZJ_21,5,ZJ_21_clip_5,0,0,0.5298517,0.47014832
1,ZJ_21,6,ZJ_21_clip_6,0,0,0.6009547,0.39904532
1,ZJ_21,7,ZJ_21_clip_7,0,0,0.60933685,0.39066318
1,ZJ_21,8,ZJ_21_clip_8,0,0,0.632566,0.36743405
1,ZJ_21,9,ZJ_21_clip_9,0,0,0.5433421,0.45665792
1,ZJ_3,1,ZJ_3_clip_1,0,1,0.42744258,0.5725574
1,ZJ_3,10,ZJ_3_clip_10,0,1,0.37095487,0.6290451
1,ZJ_3,11,ZJ_3_clip_11,0,1,0.40078995,0.5992101
1,ZJ_3,12,ZJ_3_clip_12,0,1,0.35933492,0.64066505
1,ZJ_3,13,ZJ_3_clip_13,0,1,0.47327882,0.5267212
1,ZJ_3,14,ZJ_3_clip_14,0,1,0.34785643,0.6521436
1,ZJ_3,15,ZJ_3_clip_15,0,1,0.38690078,0.6130992
1,ZJ_3,16,ZJ_3_clip_16,0,0,0.56467897,0.435321
1,ZJ_3,17,ZJ_3_clip_17,0,1,0.21396048,0.7860396
1,ZJ_3,18,ZJ_3_clip_18,0,1,0.39444304,0.605557
1,ZJ_3,19,ZJ_3_clip_19,0,1,0.347721,0.652279
1,ZJ_3,2,ZJ_3_clip_2,0,1,0.33601025,0.6639898
1,ZJ_3,20,ZJ_3_clip_20,0,1,0.2608719,0.7391282
1,ZJ_3,3,ZJ_3_clip_3,0,1,0.40297574,0.59702426
1,ZJ_3,4,ZJ_3_clip_4,0,1,0.36141673,0.6385833
1,ZJ_3,5,ZJ_3_clip_5,0,1,0.35142034,0.6485796
1,ZJ_3,6,ZJ_3_clip_6,0,1,0.4194781,0.58052194
1,ZJ_3,7,ZJ_3_clip_7,0,1,0.44432968,0.5556703
1,ZJ_3,8,ZJ_3_clip_8,0,1,0.45933706,0.54066294
1,ZJ_3,9,ZJ_3_clip_9,0,1,0.42956305,0.5704369
1,ZJ_5,1,ZJ_5_clip_1,0,0,0.5244127,0.4755873
1,ZJ_5,10,ZJ_5_clip_10,0,0,0.52286464,0.47713533
1,ZJ_5,11,ZJ_5_clip_11,0,0,0.5526258,0.44737425
1,ZJ_5,12,ZJ_5_clip_12,0,0,0.54045546,0.4595445
1,ZJ_5,13,ZJ_5_clip_13,0,1,0.46225908,0.53774095
1,ZJ_5,14,ZJ_5_clip_14,0,1,0.48036936,0.5196307
1,ZJ_5,15,ZJ_5_clip_15,0,1,0.45544818,0.54455185
1,ZJ_5,16,ZJ_5_clip_16,0,0,0.52300763,0.47699243
1,ZJ_5,17,ZJ_5_clip_17,0,1,0.39327714,0.6067229
1,ZJ_5,18,ZJ_5_clip_18,0,1,0.45557454,0.5444254
1,ZJ_5,19,ZJ_5_clip_19,0,1,0.43814093,0.5618591
1,ZJ_5,2,ZJ_5_clip_2,0,1,0.38531166,0.6146884
1,ZJ_5,20,ZJ_5_clip_20,0,1,0.30690026,0.6930998
1,ZJ_5,3,ZJ_5_clip_3,0,0,0.50289714,0.49710283
1,ZJ_5,4,ZJ_5_clip_4,0,1,0.4484271,0.5515729
1,ZJ_5,5,ZJ_5_clip_5,0,1,0.45470962,0.54529035
1,ZJ_5,6,ZJ_5_clip_6,0,0,0.5295788,0.4704212
1,ZJ_5,7,ZJ_5_clip_7,0,1,0.45906493,0.5409351
1,ZJ_5,8,ZJ_5_clip_8,0,0,0.5206209,0.47937915
1,ZJ_5,9,ZJ_5_clip_9,0,1,0.49070132,0.5092987
2,BJ_17,1,BJ_17_clip_1,1,0,0.72493577,0.27506426
2,BJ_17,10,BJ_17_clip_10,1,0,0.7087679,0.29123217
2,BJ_17,11,BJ_17_clip_11,1,0,0.7662766,0.23372336
2,BJ_17,12,BJ_17_clip_12,1,0,0.6105402,0.38945973
2,BJ_17,13,BJ_17_clip_13,1,0,0.6423003,0.35769963
2,BJ_17,14,BJ_17_clip_14,1,0,0.7163698,0.28363016
2,BJ_17,15,BJ_17_clip_15,1,0,0.6058399,0.3941601
2,BJ_17,16,BJ_17_clip_16,1,0,0.76961356,0.23038642
2,BJ_17,17,BJ_17_clip_17,1,0,0.6039281,0.39607188
2,BJ_17,18,BJ_17_clip_18,1,0,0.67109776,0.32890224
2,BJ_17,19,BJ_17_clip_19,1,0,0.6329249,0.3670751
2,BJ_17,2,BJ_17_clip_2,1,0,0.57995963,0.4200404
2,BJ_17,20,BJ_17_clip_20,1,1,0.4115388,0.5884612
2,BJ_17,3,BJ_17_clip_3,1,0,0.69989395,0.3001061
2,BJ_17,4,BJ_17_clip_4,1,0,0.69026953,0.30973047
2,BJ_17,5,BJ_17_clip_5,1,0,0.6308609,0.36913908
2,BJ_17,6,BJ_17_clip_6,1,0,0.7890622,0.21093781
2,BJ_17,7,BJ_17_clip_7,1,0,0.80932647,0.19067357
2,BJ_17,8,BJ_17_clip_8,1,0,0.70691836,0.29308164
2,BJ_17,9,BJ_17_clip_9,1,0,0.6632382,0.3367618
2,BJ_19,1,BJ_19_clip_1,1,0,0.59851944,0.40148053
2,BJ_19,10,BJ_19_clip_10,1,0,0.67698145,0.32301852
2,BJ_19,11,BJ_19_clip_11,1,0,0.6207344,0.37926558
2,BJ_19,12,BJ_19_clip_12,1,0,0.501045,0.498955
2,BJ_19,13,BJ_19_clip_13,1,1,0.43800125,0.5619987
2,BJ_19,14,BJ_19_clip_14,1,1,0.48632118,0.51367885
2,BJ_19,15,BJ_19_clip_15,1,1,0.4048052,0.59519476
2,BJ_19,16,BJ_19_clip_16,1,0,0.5336557,0.46634427
2,BJ_19,17,BJ_19_clip_17,1,1,0.36454445,0.63545555
2,BJ_19,18,BJ_19_clip_18,1,1,0.38635406,0.613646
2,BJ_19,19,BJ_19_clip_19,1,1,0.43235928,0.5676407
2,BJ_19,2,BJ_19_clip_2,1,1,0.34138536,0.6586146
2,BJ_19,20,BJ_19_clip_20,1,1,0.38456777,0.6154322
2,BJ_19,3,BJ_19_clip_3,1,0,0.5572093,0.4427907
2,BJ_19,4,BJ_19_clip_4,1,1,0.4766717,0.52332836
2,BJ_19,5,BJ_19_clip_5,1,1,0.48749796,0.5125021
2,BJ_19,6,BJ_19_clip_6,1,0,0.6071909,0.3928091
2,BJ_19,7,BJ_19_clip_7,1,0,0.56330717,0.43669286
2,BJ_19,8,BJ_19_clip_8,1,0,0.5870559,0.41294405
2,BJ_19,9,BJ_19_clip_9,1,0,0.5423138,0.4576862
2,BJ_26,1,BJ_26_clip_1,1,0,0.65952337,0.3404766
2,BJ_26,10,BJ_26_clip_10,1,0,0.6720165,0.32798347
2,BJ_26,11,BJ_26_clip_11,1,0,0.67158747,0.3284125
2,BJ_26,12,BJ_26_clip_12,1,0,0.5797902,0.4202098
2,BJ_26,13,BJ_26_clip_13,1,0,0.5662769,0.4337231
2,BJ_26,14,BJ_26_clip_14,1,0,0.6736563,0.32634366
2,BJ_26,15,BJ_26_clip_15,1,0,0.5364308,0.46356925
2,BJ_26,16,BJ_26_clip_16,1,0,0.6267647,0.37323526
2,BJ_26,17,BJ_26_clip_17,1,1,0.4696841,0.5303159
